task,layer,tau,metric,mean,sem,n
push,4,-8,curvature,2.5927264423108074,0.04263957966406402,30
push,4,-7,curvature,2.5879105319743205,0.04511506419297243,30
push,4,-6,curvature,2.6149707390521253,0.049788959260632336,30
push,4,-5,curvature,2.608634842577315,0.04254543521094318,30
push,4,-4,curvature,2.5157844085170056,0.05828786715559941,30
push,4,-3,curvature,2.6195528952432214,0.0368479847893903,30
push,4,-2,curvature,2.551884312427172,0.046095419736498965,30
push,4,-1,curvature,2.527861906822971,0.04634391371782609,30
push,4,0,curvature,2.5461171656938117,0.04251899356316107,30
push,4,1,curvature,2.475782004857965,0.04655377873266476,30
push,4,2,curvature,2.4247364309409254,0.05986344023750967,30
push,4,3,curvature,2.360480215987935,0.06293690141958824,30
push,4,4,curvature,2.4430612073620073,0.056618660995942004,30
push,4,5,curvature,2.5116778508838515,0.053513323166470735,30
push,4,6,curvature,2.463183163109641,0.061358069856181266,30
push,4,7,curvature,2.563493921004933,0.04614064067975933,30
push,4,8,curvature,2.534836946353697,0.048637049115256986,30
push,4,-8,tortuosity,8.159198547395189,0.5761135026884163,30
push,4,-7,tortuosity,7.806448244235117,0.4895992512333466,30
push,4,-6,tortuosity,7.744460018383396,0.5926651713619753,30
push,4,-5,tortuosity,7.310616869963172,0.39925013694172756,30
push,4,-4,tortuosity,7.115988941172007,0.5249073924467131,30
push,4,-3,tortuosity,6.656232879544742,0.28630070684855674,30
push,4,-2,tortuosity,6.800276948463691,0.4300077946330218,30
push,4,-1,tortuosity,6.613904751387304,0.3296617318380153,30
push,4,0,tortuosity,6.174593794884097,0.41613260053027623,30
push,4,1,tortuosity,5.878066430764585,0.42993157912160207,30
push,4,2,tortuosity,5.917377048843415,0.3762469485868923,30
push,4,3,tortuosity,5.810633791042268,0.36428325447213933,30
push,4,4,tortuosity,5.582248074493114,0.2712780595193228,30
push,4,5,tortuosity,5.987627593689482,0.2755059225530221,30
push,4,6,tortuosity,6.165019081877426,0.3574517342220554,30
push,4,7,tortuosity,6.3497803765291785,0.2827951616311346,30
push,4,8,tortuosity,6.636648418830856,0.39263343504501674,30
push,4,-8,pr,2.41607399781545,0.09055982984515276,30
push,4,-7,pr,2.396639577547709,0.08242989748052612,30
push,4,-6,pr,2.4400760531425476,0.09495434772727697,30
push,4,-5,pr,2.477278955777486,0.09794505454596861,30
push,4,-4,pr,2.5019502997398377,0.09750316180537744,30
push,4,-3,pr,2.5358750303586324,0.09377165341455353,30
push,4,-2,pr,2.522996679941813,0.09272381645292609,30
push,4,-1,pr,2.640399897098541,0.10213040155805919,30
push,4,0,pr,2.6299256881078086,0.10844320976035744,30
push,4,1,pr,2.6461811304092406,0.12096948024630319,30
push,4,2,pr,2.664399520556132,0.12097806761811271,30
push,4,3,pr,2.586425805091858,0.11063562409648921,30
push,4,4,pr,2.627793602148692,0.0998569045502521,30
push,4,5,pr,2.6771665930747988,0.10485358577058002,30
push,4,6,pr,2.588801634311676,0.09980560641480127,30
push,4,7,pr,2.63410169283549,0.09649375065121295,30
push,4,8,pr,2.6461040655771892,0.12588141571652173,30
push,5,-8,speed,1.4277421712875367,0.09010936110727054,30
push,5,-7,speed,1.4310912787914276,0.09548939721297417,30
push,5,-6,speed,1.436702279249827,0.08555498845613638,30
push,5,-5,speed,1.4899687747160593,0.09980314287522664,30
push,5,-4,speed,1.429551108678182,0.09085501389024098,30
