task,layer,slot,n_pcs_90,n_pcs_95
peg_insert,12,3,56,64
peg_insert,12,4,52,64
peg_insert,12,5,48,64
peg_insert,12,6,56,64
peg_insert,12,7,51,64
peg_insert,13,0,56,64
peg_insert,13,1,48,64
peg_insert,13,2,40,64
peg_insert,13,3,54,64
peg_insert,13,4,52,64
peg_insert,13,5,46,64
peg_insert,13,6,55,64
peg_insert,13,7,48,64
peg_insert,14,0,55,64
peg_insert,14,1,46,64
peg_insert,14,2,39,64
peg_insert,14,3,53,64
peg_insert,14,4,52,64
peg_insert,14,5,46,64
peg_insert,14,6,53,64
peg_insert,14,7,44,64
peg_insert,15,0,54,64
peg_insert,15,1,45,64
peg_insert,15,2,38,64
peg_insert,15,3,50,64
peg_insert,15,4,52,64
peg_insert,15,5,46,64
peg_insert,15,6,49,64
peg_insert,15,7,42,64
peg_insert,16,0,53,64
peg_insert,16,1,45,64
peg_insert,16,2,39,64
peg_insert,16,3,52,64
peg_insert,16,4,54,64
peg_insert,16,5,48,64
peg_insert,16,6,51,64
peg_insert,16,7,42,64
peg_insert,17,0,48,64
peg_insert,17,1,43,64
peg_insert,17,2,37,64
peg_insert,17,3,48,64
peg_insert,17,4,51,64
peg_insert,17,5,45,64
peg_insert,17,6,44,64
peg_insert,17,7,34,64
peg_insert,18,0,47,64
peg_insert,18,1,43,64
peg_insert,18,2,36,64
peg_insert,18,3,48,64
peg_insert,18,4,52,64
peg_insert,18,5,46,64
peg_insert,18,6,43,64
peg_insert,18,7,31,64
peg_insert,19,0,45,64
peg_insert,19,1,42,64
peg_insert,19,2,36,64
peg_insert,19,3,47,64
peg_insert,19,4,50,64
peg_insert,19,5,44,64
peg_insert,19,6,42,64
peg_insert,19,7,30,64
peg_insert,20,0,43,64
peg_insert,20,1,41,64
peg_insert,20,2,36,64
peg_insert,20,3,47,64
peg_insert,20,4,50,64
peg_insert,20,5,45,64
peg_insert,20,6,40,64
peg_insert,20,7,29,64
peg_insert,21,0,41,64
peg_insert,21,1,43,64
peg_insert,21,2,37,64
peg_insert,21,3,48,64
peg_insert,21,4,49,64
peg_insert,21,5,47,64
peg_insert,21,6,42,64
peg_insert,21,7,29,64
peg_insert,22,0,36,64
peg_insert,22,1,42,64
peg_insert,22,2,37,64
