task,layer,target,scheme,scheme_param,r2_mean,r2_std
push,2,contact_force_log1p_mag,prefix,3,-0.5300232887268066,0.8019051929750523
push,2,contact_force_log1p_mag,prefix,7,-0.44507943391799926,0.7718170618105269
push,2,contact_force_log1p_mag,reverse,-1,-0.45034202337265017,0.7699278554364306
push,2,contact_force_log1p_mag,random_global_perm,-1,-0.4499505996704102,0.7745109719134753
push,2,contact_force_log1p_mag,random_per_sample,-2,-0.5255277872085571,0.873970523749595
push,5,ee_acceleration,baseline_full,-1,-1.25920672416687,0.4025218452372234
push,5,ee_acceleration,mean_over_slots,-1,-1.2007156968116761,0.5010237494867059
push,5,ee_acceleration,single_slot,0,-0.468830743432045,0.1760939096374145
push,5,ee_acceleration,single_slot,3,-0.5596768140792847,0.22051266484924534
push,5,ee_acceleration,single_slot,7,-0.18634256720542908,0.17872573099210218
push,5,ee_acceleration,prefix,0,-0.4689218163490295,0.17500043278983116
push,5,ee_acceleration,prefix,3,-1.7957127571105957,0.5543289298562677
push,5,ee_acceleration,prefix,7,-1.25920672416687,0.4025218452372234
push,5,ee_acceleration,reverse,-1,-1.2526353597640991,0.40302636971960065
push,5,ee_acceleration,random_global_perm,-1,-1.2645055294036864,0.4195617486952704
push,5,ee_acceleration,random_per_sample,-2,-1.539158320426941,0.2501522563756469
push,5,obj_acceleration,baseline_full,-1,-2.4346925020217896,1.0110491900224294
push,5,obj_acceleration,mean_over_slots,-1,-1.2558763146400451,0.43167179468812134
push,5,obj_acceleration,single_slot,0,-0.6372804403305053,0.3129616959584064
push,5,obj_acceleration,single_slot,3,-0.6969033241271972,0.35634992144246774
push,5,obj_acceleration,single_slot,7,-0.545149278640747,0.3798774301002315
push,5,obj_acceleration,prefix,0,-0.6380899488925934,0.31311196043703243
push,5,obj_acceleration,prefix,3,-2.1004083156585693,0.7706138595485854
push,5,obj_acceleration,prefix,7,-2.4346925020217896,1.0110491900224294
push,5,obj_acceleration,reverse,-1,-2.3965066194534304,0.9827447538007513
push,5,obj_acceleration,random_global_perm,-1,-2.418105125427246,0.9807733406398128
push,5,obj_acceleration,random_per_sample,-2,-1.8043053150177002,0.727552077449512
push,5,contact_flag,baseline_full,-1,0.06867488622665405,0.2924466124292596
push,5,contact_flag,mean_over_slots,-1,0.20407936573028565,0.1321168493311517
push,5,contact_flag,single_slot,0,0.20942959785461426,0.2544671976481272
push,5,contact_flag,single_slot,3,0.36494109630584715,0.22268494885130274
push,5,contact_flag,single_slot,7,0.4399326503276825,0.17867442502675357
push,5,contact_flag,prefix,0,0.20994257926940918,0.25375626405035445
push,5,contact_flag,prefix,3,0.06474243998527526,0.24809681367806466
push,5,contact_flag,prefix,7,0.06867488622665405,0.2924466124292596
push,5,contact_flag,reverse,-1,0.06577602624893189,0.30026693140808564
push,5,contact_flag,random_global_perm,-1,0.06886964440345764,0.2804816584444192
push,5,contact_flag,random_per_sample,-2,0.09671872854232788,0.19620745887857025
push,5,contact_force_log1p_mag,baseline_full,-1,-0.4618734955787659,0.663073133211761
push,5,contact_force_log1p_mag,mean_over_slots,-1,-0.03415473699569702,0.42155995181309763
push,5,contact_force_log1p_mag,single_slot,0,-0.17802344560623168,0.6338075697136096
push,5,contact_force_log1p_mag,single_slot,3,0.09275867938995361,0.505909222936996
